"Departamento","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","area_ha"
"25 DE MAYO",809.0006,524.6493,981.3285,1314.3238,2000.6534,1557.9009,1408.6732,2555.9869,1517.4879,1353.7879,1344.7825,1425.5602,1423.3004,165739.590258402
"APOSTOLES",158.28121,126.49995,163.72413,346.44688,239.78481,340.08283,229.19204,275.54142,209.51357,221.42789,151.53028,336.7329,169.5494,106381.247096066
"CAINGUAS",420.7424,459.6901,674.5786,806.3316,931.1877,962.9493,696.0214,1047.2422,600.7432,576.897,385.1234,671.3292,712.4002,155229.575416403
"CANDELARIA",311.997,165.7763,270.1403,357.3925,383.5662,553.5431,459.314,589.0719,419.3729,359.7098,195.4291,464.5218,215.4476,91015.606369577
"CAPITAL",128.90002,119.8114,134.65835,373.44753,238.46573,172.73295,72.59964,146.67143,111.85931,218.96428,112.51622,194.72196,109.15372,98115.4424473489
"CONCEPCION",127.8809,197.4719,200.7355,242.7121,489.8103,1127.3687,676.551,592.9719,462.0681,766.8363,550.34,621.8383,233.0067,77132.1391488076
"ELDORADO",1352.666,1653.254,1941.235,2857.146,3720.19,3991.124,3693.083,4638.936,1934.948,2198.131,3440.377,2912.156,1728.671,187931.788455626
"GENERAL MANUEL BELGRANO",496.0503,616.1691,915.55,1351.129,1468.8199,1497.3906,2285.5106,4105.1735,1951.3012,1834.0754,1950.6916,2053.9785,1748.961,337757.270557285
"GUARANI",1079.956,1260.636,1715.139,2042.093,2754.982,2671.036,2018.225,3734.266,2057.581,1527.985,1285.721,1505.04,1372.692,327633.040704549
"IGUAZU",4069.871,4879.984,4744.155,7017.2,6493.551,7059.328,4417.422,3327.114,2810.837,6118.635,3437.333,1994.006,2014.812,269641.799053568
"LEANDRO N. ALEM",346.7923,314.3271,503.4533,801.0201,804.7501,1030.9381,770.3369,845.9863,657.4286,776.3074,334.1653,958.0617,385.1521,106727.713106809
"LIBERTADOR GENERAL SAN MARTIN",1071.0359,702.1979,1319.3559,1497.6991,1790.5742,2015.3773,2305.1474,2090.991,1119.0268,1882.5111,1336.7496,1561.4512,1639.2714,145225.191073613
"MONTECARLO",3007.4782,3379.9823,3014.2354,2751.3071,2494.0309,3016.4831,2378.6359,2770.737,1387.4618,1344.4813,1672.7084,1895.6028,1391.7888,174499.960508849
"OBERA",545.9017,412.3574,761.9395,853.1633,1056.5257,1253.7902,951.5472,1394.0996,732.1324,957.0667,544.0761,807.6154,811.1728,157776.393597223
"SAN IGNACIO",2238.394,1028.584,1806.524,2088.185,2779.583,2863.433,3491.624,2745.105,1349.615,1421.854,731.563,1509.68,1166.967,165497.054393134
"SAN JAVIER",164.5371,105.759,349.6724,310.7349,291.5607,367.6165,286.8833,498.532,283.2932,339.5329,204.6499,617.4488,176.3663,67258.5089500712
"SAN PEDRO",1126.2637,821.9818,1984.3986,2490.1706,2041.342,1716.6882,1695.7896,2258.5575,1443.1876,1165.3579,1600.3954,1537.7143,1320.015,359229.543043288
