"","Departamento","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","25 DE MAYO",106517.8,105708.8,105184.15,104202.83,102888.5,100887.85,99329.95,97921.28,95365.29,93847.8,92494.01,91149.23,89723.67,88300.37,87136.15
"2","APOSTOLES",28677.47,28519.19,28392.69,28228.96,27882.52,27642.73,27302.65,27073.46,26797.92,26588.4,26366.97,26215.44,25878.71,25709.16,25615.5
"3","CAINGUAS",84968.21,84547.47,84087.78,83413.2,82606.87,81675.68,80712.73,80016.71,78969.47,78368.72,77791.83,77406.7,76735.37,76022.97,75503.32
"4","CANDELARIA",44822.91,44510.92,44345.14,44075,43717.61,43334.04,42780.5,42321.18,41732.11,41312.74,40953.03,40757.6,40293.08,40077.63,39828.51
"5","CAPITAL",14522.78,14393.88,14274.07,14139.41,13765.96,13527.5,13354.76,13282.16,13135.49,13023.63,12804.67,12692.15,12497.43,12388.28,12254.06
"6","CONCEPCION",33175.7,33047.82,32850.35,32649.62,32406.9,31917.09,30789.72,30113.17,29520.2,29058.13,28291.3,27740.96,27119.12,26886.11,26692.82
"7","ELDORADO",148141.7,146789,145135.7,143194.5,140337.4,136617.2,132626.1,128933,124294,122359.1,120161,116720.6,113808.4,112079.8,110894.9
"8","GENERAL MANUEL BELGRANO",274413.1,273917,273300.9,272385.3,271034.2,269565.4,268068,265782.5,261677.3,259726,257891.9,255941.2,253887.3,252138.3,250641.6
"9","GUARANI",236405.6,235325.6,234065,232349.8,230307.7,227552.8,224881.7,222863.5,219129.2,217071.6,215543.7,214257.9,212752.9,211380.2,210156.9
"10","IGUAZU",218611.6,214541.8,209661.8,204917.6,197900.4,191406.9,184347.5,179930.1,176603,173792.2,167673.5,164236.2,162242.2,160227.4,158219.2
"11","LEANDRO N. ALEM",60005.5,59658.71,59344.38,58840.93,58039.91,57235.16,56204.22,55433.88,54587.9,53930.47,53154.16,52819.99,51861.93,51476.78,51125.1
"12","LIBERTADOR GENERAL SAN MARTIN",88938,87866.96,87164.77,85845.41,84347.71,82557.14,80541.76,78236.61,76145.62,75026.59,73144.08,71807.33,70245.88,68606.61,67586.89
"13","MONTECARLO",137839,134831.5,131451.6,128437.3,125686,123192,120175.5,117796.9,115026.1,113638.7,112294.2,110621.5,108725.9,107334.1,106553.2
"14","OBERA",81885.62,81339.71,80927.36,80165.42,79312.25,78255.73,77001.94,76050.39,74656.29,73924.16,72967.09,72423.02,71615.4,70804.23,70307.51
"15","SAN IGNACIO",102711,100472.61,99444.02,97637.5,95549.31,92769.73,89906.3,86414.67,83669.57,82319.95,80898.1,80166.54,78656.86,77489.89,76148.11
"16","SAN JAVIER",33105.23,32940.69,32834.93,32485.26,32174.52,31882.96,31515.35,31228.46,30729.93,30446.64,30107.1,29902.45,29285.01,29108.64,28959.73
"17","SAN PEDRO",312106.3,310980,310158.1,308173.7,305683.5,303642.1,301925.5,300229.7,297971.1,296527.9,295362.6,293762.2,292224.5,290904.4,289550.2
